127.0.0.1 - - [08/Aug/2019:01:37:04 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:37:32 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:37:32 +0900] "GET /robots.txt HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:37:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:37:51 +0900] "GET /testproject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:37:51 +0900] "GET /testproject/ HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:38:19 +0900] "GET /testproject/hello.html HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:38:29 +0900] "GET /testproject/what.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:51:01 +0900] "GET /testproject/what.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:51:12 +0900] "GET /testproject/index.jsp HTTP/1.1" 200 14566
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:51:13 +0900] "GET /testproject/vendors/linericon/style.css HTTP/1.1" 200 8344
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:51:13 +0900] "GET /testproject/css/bootstrap.css HTTP/1.1" 200 183481
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:51:13 +0900] "GET /testproject/vendors/animate-css/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:51:13 +0900] "GET /testproject/css/style.css HTTP/1.1" 200 77379
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:51:13 +0900] "GET /testproject/vendors/owl-carousel/owl.carousel.min.css HTTP/1.1" 200 2936
